得分,乡卫生院设点卫生室个数,村办卫生室个数,联合办的卫生室个数,私人办的卫生室个数,其他办的卫生室个数,设卫生室村占比,乡镇卫生院诊疗人次,乡镇卫生院入院人数,乡镇卫生院病床使用率,住院者平均住院日,基层卫生机构床位数,乡村医生和卫生员
-0.701602176,0.334786113,0.069517084,0.101079347,0.051312795,0.375035063,0.720572877,0.177055168,0.051103988,0.717810335,0.984375,0.135913303,0.147058824
1.206931601,1.016791935,2.348765746,1.078179697,4.681481885,2.324824684,1.044308517,1.011743816,1.134674735,0.962477517,1.078125,1.519250071,2.344117647
0.484983776,0.479384241,1.608091333,0.716744458,0.688240023,2.485834502,1.044308517,0.429991122,0.331621952,0.633256236,1.21875,0.716803036,1.114705882
-0.323066765,1.024159992,0.428173141,0.422695449,0.9079885,0.611313698,1.044308517,0.303523145,0.28121043,0.732202522,0.90625,0.498969386,0.532352941
-0.074971379,0.172688848,0.691263558,0.143961494,1.878544275,0.423468911,1.044308517,0.480578313,0.416587526,0.798766388,1.0625,0.70563208,0.705882353
-0.33501202,0.682926829,0.325932559,1.135355893,0.564059243,0.311547452,1.044308517,0.278229549,0.152134773,0.557697253,1.03125,0.404016257,0.473529412
-0.437959516,0.783777116,0.589836993,0.140898483,0.232338234,0.345582048,1.044308517,0.252935954,0.482094807,0.991261891,0.9375,0.599507994,0.638235294
-0.062000482,1.829120274,0.671808543,1.970536757,0.004959601,0.786068256,1.044308517,2.402891564,1.455355725,1.214340793,1.140625,1.664472505,0.908823529
-0.372511619,0.612930283,0.575754492,0.146003501,0.371970079,0.672183263,0.438609577,2.47877235,0.233638018,0.94268826,1.40625,0.480351126,0.229411765
0.006415759,1.328092364,0.583406256,1.877625438,0.171678498,1.628424497,1.044308517,1.315266961,1.206760443,1.101002319,0.96875,1.210186944,1.202941176
-0.067846378,0.299787839,0.943201937,0.229725788,0.812802311,1.226554465,1.044308517,0.758807862,0.527936054,0.818555645,0.9375,0.623711733,0.744117647
0.16628753,0.131243524,1.104702985,1.511085182,2.431539793,0.990930341,1.044308517,0.758807862,1.621062832,1.253919307,0.828125,1.102201032,1.276470588
0.790505897,6.505534267,2.151366532,4.651691951,0.84465821,2.293408134,0.74668059,1.821138869,1.924570665,1.104600365,1.078125,2.170889195,3.226470588
1.300465163,0.390507047,2.742261747,2.90169195,3.084108839,1.915755026,1.044308517,2.681121113,2.241373846,1.13878181,1.0625,2.252809542,3.220588235
0.004857169,1.620512146,1.265959828,2.909859978,0.345264535,0.524918186,1.030732506,1.416441343,1.95012266,1.459007975,1.078125,1.653301548,1.161764706
0.666305648,0.683847837,2.293168359,0.941365228,1.543008189,2.270500234,1.044308517,1.087624603,2.621537662,1.237728097,0.921875,2.122481717,1.308823529
-0.047496215,0.701807477,1.557947862,0.104142357,0.948619078,0.44114072,1.044308517,1.719964488,1.2686669,0.976869704,0.890625,1.275350856,0.708823529
-0.123225557,0.367481868,1.127983882,0.178675613,0.999550366,0.450958392,1.044308517,1.26467977,1.710529435,1.084811108,0.8125,1.210186944,1.002941176
-0.505538147,0.075983093,0.063086347,0.028588098,0.227187879,0.314165498,1.044308517,0.303523145,0.057197689,0.636854282,1.09375,0.135913303,0.088235294
-0.336337061,0.582537046,0.539205112,0.258313886,0.285558568,0.81944834,1.044308517,0.505871908,1.165558718,1.370855828,1,0.949531295,0.591176471
1.117800093,1.630643225,2.262479904,2.588243875,3.639011895,2.108181393,1.044308517,2.453478755,3.380272624,1.354664618,1.015625,2.595385539,1.905882353
-0.057907969,1.034751575,0.737743951,0.531942824,1.287397981,1.267788686,1.044308517,0.784101458,0.857134375,0.849139043,0.765625,0.860163643,1.032352941
-0.207856244,0.627666398,0.820366715,0.580950992,0.082787187,0.619822347,1.044308517,1.365854152,1.002690722,0.924698026,0.890625,1.035175294,1.097058824
-0.017597478,0.26018453,1.598648731,0.337952159,0.726009292,0.384852735,1.044308517,0.581752694,0.619964781,0.931894119,1.125,0.722388514,0.938235294
-0.26471261,1.733335526,0.554020228,0.703471412,0.767212132,1.104815334,1.044308517,0.531165504,0.514155981,1.099203295,0.9375,0.562271472,0.629411765
-0.677171175,0.287814746,0.148395368,0.634043174,0.198574796,0.293221131,1.044308517,0.075880786,0.083649889,0.949884353,0.8125,0.107985912,0.208823529
-0.615784221,0.189266977,0.057551029,0.189906651,0.122273241,0.215334268,1.044308517,0.177055168,0.040578506,0.867129277,1.046875,0.068887565,0.094117647
-0.515955623,2.612436887,0.139359775,0.985268378,0.101862575,0.793922394,1.044308517,0.581752694,0.66781418,1.289899775,0.96875,0.616264428,0.467647059
