得分,乡卫生院设点卫生室个数,村办卫生室个数,联合办的卫生室个数,私人办的卫生室个数,其他办的卫生室个数,设卫生室村占比,乡镇卫生院诊疗人次,乡镇卫生院入院人数,乡镇卫生院病床使用率,住院者平均住院日,基层卫生机构床位数,乡村医生和卫生员
[0.313089819,0.074744044,0.11123723,0.04732439,0.356867779,0.733887734,0.176576386,0.036846454,0.561653029,1.00983611,0.125729681,0.144621616],
[1.184856223,2.368779248,0.995175936,4.578189199,2.416559692,1.03950104,0.958557522,1.13014543,0.96176037,1.055737751,1.55545577,2.285650329],
[0.484067947,1.60346343,0.721055619,0.680956388,2.437098845,1.03950104,0.327927573,0.327399024,0.642425872,1.193442675,0.6986978,1.119245553],
[1.052070612,0.430006889,0.410187287,0.891441018,0.695121951,1.03950104,0.277477178,0.253495164,0.706292772,0.979235015,0.499326448,0.55333488],
[0.151437771,0.699384754,0.145998865,1.919310925,0.342747112,1.03950104,0.479278761,0.392020954,0.807728436,1.11693994,0.725639874,0.688524652],
[0.68035972,0.328241917,1.170970488,0.547893669,0.304878049,1.03950104,0.25225198,0.163347924,0.604857108,0.994535563,0.387965873,0.465304331],
[0.75408016,0.615495166,0.146992054,0.18652542,0.35237484,1.03950104,0.201801584,0.32423473,0.773916548,0.994535563,0.567579704,0.635077533],
[1.866992339,0.657814096,1.850312145,0.00376219,0.842747112,1.03950104,2.396393806,1.413033375,1.217227968,1.132240487,1.679389313,0.848866009],
[0.626623737,0.562201582,0.144012486,0.385921489,0.780487805,0.483367983,2.623420587,0.243228786,0.989936943,1.361748693,0.495734172,0.229508217],
[1.316753636,0.590802195,1.836407491,0.17266472,1.620667522,1.03950104,1.488286679,1.077125914,1.050046967,0.994535563,1.203412663,1.182124517],
[0.383257466,0.933760125,0.228433598,0.826295728,1.146341463,1.03950104,0.756755939,0.553540619,0.849054077,0.918032827,0.619667714,0.732539927],
[0.124791829,1.117502435,1.473893303,2.321667244,0.884467266,1.03950104,0.731530741,1.613157435,1.243526104,0.826229544,1.088459811,1.24500348],
[6.244920617,2.184454949,4.699772985,0.947477848,2.177792041,0.795218295,1.841439451,1.911655902,1.134576687,1.071038298,2.144589133,3.178531613],
[0.376595981,2.799783833,2.82661748,3.127567942,1.931322208,1.03950104,2.724321379,2.387917412,1.185294519,1.071038298,2.281095644,3.247698473],
[1.557011214,1.270316175,3.069948921,0.314241869,0.608472401,1.03950104,1.36216069,1.99976393,1.437005241,1.055737751,1.704535249,1.17583662],
[0.629288331,2.208233366,0.961407491,1.516360576,2.164955071,1.03950104,1.059458314,2.760390057,1.31114988,0.887431733,2.099685676,1.257579273],
[0.814477629,1.353457491,0.120175936,1.111628137,1.378690629,1.03950104,1.765763857,1.307838156,1.023748831,0.90273228,1.26986978,0.72625203],
[0.371266792,1.14751645,0.175794552,0.980347508,0.412708601,1.03950104,1.160359106,1.723837432,1.125184496,0.810928997,1.212393354,1.024927108],
[0.098145887,0.072914935,0.025822928,0.284342359,0.10012837,1.03950104,0.277477178,0.055691587,0.732590907,1.071038298,0.127525819,0.106894238],
[0.548018208,0.55446944,0.289018161,0.278006039,0.801668806,1.03950104,0.504503959,1.181547639,1.433248364,1.025136657,0.950157162,0.562766725],
[1.579216165,2.315319381,2.543558456,3.724172071,2.083440308,1.03950104,2.497294598,3.225822647,1.356232397,1.055737751,2.582846879,1.977543407],
[1.243921394,0.719421812,0.53930193,1.270828177,1.245186136,1.03950104,0.882881928,0.949218091,0.897893471,0.749726809,0.860350247,1.07208633],
[0.645719996,0.83365798,0.58399546,0.06672937,0.640564827,1.03950104,1.412611085,1.072836537,0.950489741,0.887431733,1.05792546,1.207276102],
[0.329521483,1.629486662,0.355561861,0.663333498,0.086007702,1.03950104,0.605404751,0.647977236,0.956125055,1.101639392,0.716659183,0.924320766],
[1.709337182,0.542330807,0.71807605,0.776397208,0.944159178,1.03950104,0.479278761,0.541235028,1.145847316,0.856830639,0.556802874,0.606781999],
[0.282446986,0.148739815,0.591940976,0.18355527,0.337612323,1.03950104,0.075675594,0.069051942,0.897893471,0.887431733,0.109564436,0.213788476],
[0.207394249,0.068009597,0.213535755,0.09346072,0.210526316,1.03950104,0.151351188,0.04057329,0.77203811,1.040437204,0.071845532,0.097462394],
[2.424336627,0.169691427,1.050794551,0.09959903,0.696405648,1.03950104,0.529729157,0.59706725,1.232255474,0.948633921,0.607094746,0.490455917],
